,carrier,distance,travel_time,segment,betweenness,shape
972,Delta Air Lines Inc.,1085,9668,"('MTY', 'ATL')",0.0007428782073928811,"[[-100.107002258, 25.7784996033], [-84.4281005859, 33.6366996765]]"
973,United Parcel Service,339,1737,"('MTY', 'AUS')",0.0004493747257626763,"[[-100.107002258, 25.7784996033], [-97.6698989868, 30.1944999695]]"
974,USA Jet Airlines Inc.,167,60,"('MTY', 'BRO')",0.0004976276094543621,"[[-100.107002258, 25.7784996033], [-97.4259033203, 25.9067993164]]"
975,Aerolitoral,1495,0,"('MTY', 'CAK')",0.0005155429511802215,"[[-100.107002258, 25.7784996033], [-81.442199707, 40.9160995483]]"
976,Mesa Airlines Inc.,212,110,"('MTY', 'CRP')",0.0003653443137258766,"[[-100.107002258, 25.7784996033], [-97.5011978149, 27.7703990936]]"
977,ABX Air Inc,1281,180,"('MTY', 'CVG')",0.00048489585988066553,"[[-100.107002258, 25.7784996033], [-84.6678009033, 39.0488014221]]"
978,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),1006,0,"('MTY', 'DEN')",0.0003289954203961265,"[[-100.107002258, 25.7784996033], [-104.672996521, 39.8616981506]]"
979,Envoy Air,524,15330,"('MTY', 'DFW')",0.0006053153124737207,"[[-100.107002258, 25.7784996033], [-97.0380020142, 32.8968009949]]"
980,Delta Air Lines Inc.,1480,6158,"('MTY', 'DTW')",0.00045818579788280757,"[[-100.107002258, 25.7784996033], [-83.3534011841, 42.2123985291]]"
981,Aerolitoral,1809,0,"('MTY', 'EWR')",0.000839416194683902,"[[-100.107002258, 25.7784996033], [-74.1687011719, 40.6925010681]]"
982,Amerijet International,1237,340,"('MTY', 'GSP')",0.0003634259051463047,"[[-100.107002258, 25.7784996033], [-82.2189025879, 34.8956985474]]"
983,ABX Air Inc,156,1122,"('MTY', 'HRL')",0.0015917686462295617,"[[-100.107002258, 25.7784996033], [-97.6544036865, 26.2285003662]]"
984,Aerolitoral,1826,0,"('MTY', 'JFK')",0.0014106476533420236,"[[-100.107002258, 25.7784996033], [-73.77890015, 40.63980103]]"
985,Aerolitoral,1139,0,"('MTY', 'LAS')",0.00039091771916051755,"[[-100.107002258, 25.7784996033], [-115.1520004, 36.08010101]]"
986,Kalitta Charters II,128,60,"('MTY', 'LRD')",0.00039128627792045875,"[[-100.107002258, 25.7784996033], [-99.4616012573, 27.543800354]]"
987,Aerolitoral,1171,0,"('MTY', 'MCO')",0.0005513211420361009,"[[-100.107002258, 25.7784996033], [-81.3089981079, 28.4293994904]]"
988,Federal Express Corporation,878,5702,"('MTY', 'MEM')",0.0004704765431464802,"[[-100.107002258, 25.7784996033], [-89.9766998291, 35.0424003601]]"
989,Mesa Airlines Inc.,119,139,"('MTY', 'MFE')",0.0007820243929973583,"[[-100.107002258, 25.7784996033], [-98.23860168, 26.17580032]]"
990,Republic Airline,1234,5424,"('MTY', 'MIA')",0.0020095844564015472,"[[-100.107002258, 25.7784996033], [-80.2906036377, 25.7931995392]]"
991,Mesa Airlines Inc.,679,268,"('MTY', 'OKC')",0.0003663666049716133,"[[-100.107002258, 25.7784996033], [-97.6007003784, 35.3931007385]]"
992,Delta Air Lines Inc.,1136,216,"('MTY', 'SAN')",0.0004618424758216834,"[[-100.107002258, 25.7784996033], [-117.190002441, 32.7336006165]]"
993,Delta Air Lines Inc.,1224,220,"('MTY', 'SAV')",0.00032383663045891726,"[[-100.107002258, 25.7784996033], [-81.20210266, 32.12760162]]"
994,London Air Services Limited,1028,0,"('MWH', 'MXL')",0.000375412614819791,"[[-119.3199997, 47.20769882], [-115.241996765, 32.6305999756]]"
995,United Air Lines Inc.,4010,15494,"('MXP', 'EWR')",0.0003946166222114318,"[[8.72811031342, 45.6305999756], [-74.1687011719, 40.6925010681]]"
996,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,3938,481,"('MXP', 'FOK')",0.00041421304837800855,"[[8.72811031342, 45.6305999756], [-72.6317977905, 40.8437004089]]"
997,Federal Express Corporation,4925,11723,"('MXP', 'MEM')",0.00027932180786449353,"[[8.72811031342, 45.6305999756], [-89.9766998291, 35.0424003601]]"
998,American Airlines Inc.,4523,652,"('MXP', 'ORD')",0.0004380286666797972,"[[8.72811031342, 45.6305999756], [-87.90480042, 41.97859955]]"
999,Delta Air Lines Inc.,1508,218,"('MZT', 'ATL')",0.0004879242653690802,"[[-106.26599884, 23.1613998413], [-84.4281005859, 33.6366996765]]"
1000,Mesa Airlines Inc.,875,5110,"('MZT', 'DFW')",0.0003166589665143259,"[[-106.26599884, 23.1613998413], [-97.0380020142, 32.8968009949]]"
1001,Mesa Airlines Inc.,823,2322,"('MZT', 'IAH')",0.0003682278869700198,"[[-106.26599884, 23.1613998413], [-95.3414001465, 29.9843997955]]"
1002,Alaska Airlines Inc.,1045,2993,"('MZT', 'LAX')",0.0006373549837126062,"[[-106.26599884, 23.1613998413], [-118.4079971, 33.94250107]]"
1003,American Airlines Inc.,789,5869,"('MZT', 'PHX')",0.00023391026505426,"[[-106.26599884, 23.1613998413], [-112.012001038, 33.434299469]]"
1004,American Airlines Inc.,1438,203,"('NAS', 'ABI')",0.0008633945309823362,"[[-77.4662017822, 25.0389995575], [-99.6819000244, 32.4113006592]]"
1005,Delta Air Lines Inc.,635,182,"('NAS', 'AGS')",0.00066701868438023,"[[-77.4662017822, 25.0389995575], [-81.9645004272, 33.3698997498]]"
1006,"Jet Aviation Flight Services, Inc.",1878,309,"('NAS', 'APA')",0.0008929945213360736,"[[-77.4662017822, 25.0389995575], [-104.848999, 39.57009888]]"
1007,"Jet Aviation Flight Services, Inc.",1312,208,"('NAS', 'GRR')",0.0011246680187179082,"[[-77.4662017822, 25.0389995575], [-85.52279663, 42.88079834]]"
1008,Flying Group Lux S.A.,1460,0,"('NAS', 'ICT')",0.0015355700483515877,"[[-77.4662017822, 25.0389995575], [-97.4330978394, 37.6498985291]]"
1009,Republic Airline,820,207,"('NAS', 'ORF')",0.000493568736156505,"[[-77.4662017822, 25.0389995575], [-76.2012023926, 36.8945999146]]"
1010,Trans Northern Airways d/b/a Air Unlimited Charter Services,347,165,"('NAS', 'SFB')",0.0012712903098560282,"[[-77.4662017822, 25.0389995575], [-81.2375030518, 28.7775993347]]"
1011,Chartright Air Inc.,1107,0,"('NAS', 'TEB')",0.0021039576207559593,"[[-77.4662017822, 25.0389995575], [-74.060798645, 40.8501014709]]"
1012,"Jet Aviation Flight Services, Inc.",1061,150,"('NAS', 'TTN')",0.0008426424992303824,"[[-77.4662017822, 25.0389995575], [-74.8134994507, 40.2766990662]]"
1013,"Jet Aviation Flight Services, Inc.",2530,370,"('NAS', 'VNY')",0.0003897165832423779,"[[-77.4662017822, 25.0389995575], [-118.489997864, 34.2098007202]]"
1014,Volga-Dnepr Airlines,4941,0,"('NGO', 'PAE')",0.0002895426090280503,"[[136.804992676, 34.8583984375], [-122.2819977, 47.90629959]]"
1015,VistaJet Limited,5355,0,"('NGO', 'SJC')",0.0006393388418338442,"[[136.804992676, 34.8583984375], [-121.929000854, 37.3625984192]]"
1016,United Parcel Service,3433,10559,"('NRT', 'ANC')",0.0012450165712799021,"[[140.386001587, 35.7647018433], [-149.996002197, 61.1744003296]]"
1017,United Air Lines Inc.,6537,778,"('NRT', 'AUS')",0.0005395941322707333,"[[140.386001587, 35.7647018433], [-97.6698989868, 30.1944999695]]"
1018,United Air Lines Inc.,5787,18584,"('NRT', 'DEN')",0.0004721245054310356,"[[140.386001587, 35.7647018433], [-104.672996521, 39.8616981506]]"
1019,United Air Lines Inc.,6731,22144,"('NRT', 'EWR')",0.0009435460742727551,"[[140.386001587, 35.7647018433], [-74.1687011719, 40.6925010681]]"
1020,United Air Lines Inc.,6752,23001,"('NRT', 'IAD')",0.0009647913282904854,"[[140.386001587, 35.7647018433], [-77.45580292, 38.94449997]]"
1021,United Air Lines Inc.,6642,20999,"('NRT', 'IAH')",0.0010290622708553155,"[[140.386001587, 35.7647018433], [-95.3414001465, 29.9843997955]]"
1022,Japan Air Lines Co. Ltd.,3979,0,"('NRT', 'KOA')",0.0004899713307219398,"[[140.386001587, 35.7647018433], [-156.046005249, 19.7388000488]]"
1023,Delta Air Lines Inc.,5512,3109,"('NRT', 'LAS')",0.00044238414793180573,"[[140.386001587, 35.7647018433], [-115.1520004, 36.08010101]]"
